기간,회원구분,급전방식,사업구분,지역,원자력,유연탄,무연탄,유류,LNG,양수,신재생,,,,,,,,기타,합계
,,,,,,,,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,,
2025/01,합계,합계,합계,인천,0,5080,0,36.22999999999999,8576.747,0,245.74500000000003,0,156.33568499999996,49,12.599,0,76.33,0,30.78,14263.766684999999
2025/01,합계,합계,합계,광주,0,0,0,0,115.24600000000001,0,21.035,0,343.4918309999998,0,1.83,0,2.12,0,3.96,487.68283099999985
2025/01,합계,합계,합계,대전,0,0,0,0,48.3,0,7.165000000000001,0,63.25719999999998,0,0,0,0.099,0,88,206.82119999999998
2025/01,합계,합계,합계,울산,2800,0,0,0,3619.3,0,37.298,0,136.2966000000002,0,0.3,0,0,0,18.2,6611.3946000000005
2025/01,합계,합계,합계,경기,0,253.35500000000002,0,39.35,17587.717,400,256.49,0,1899.7230410000088,5.271,275.954,254,62.522999999999996,0,51.45499999999999,21085.838041000006
2025/01,합계,합계,합계,강원,0,7414,400,0,1279.2,1000,98.49600000000001,0,1906.0418230000437,570.1980000000002,525.0949999999999,0,368.46500000000003,0,18.97,13580.465823000046
2025/01,합계,합계,합계,충북,0,0,0,0,270,0,59.400000000000006,0,1528.4447990000353,0,506.644,0,2.66,0,51.297,2430.4457990000355
2025/01,합계,합계,합계,충남,0,18246.058,0,469.61,4208.45,0,82.72,346.33,3681.625557999971,2,32.251,0,383.56,0,9.39,27462.489917999974
2025/01,합계,합계,합계,전북,0,445.369,0,7.490000000000001,718.4000000000001,600,15.42,0,4534.225022000328,79.5,78.91699999999999,0,477.812,0,14.535,6971.966822000328
2025/01,합계,합계,합계,전남,5900,981.1,0,22.43999999999999,2378.9,0,68.56,0,6077.8703700000315,454.87499999999994,36.676,0.08,2.229,0,22.869999999999997,15947.72042000003
2025/01,합계,합계,합계,경북,12800,156.1,0,18.5,361.6,1400,66.988,0,3805.071427999973,578.0097,179.95499999999998,0,1.5,0,38.935,19406.659127999974
2025/01,합계,합계,합계,경남,0,8200,0,27.19,1130.972,1300,9.315,0,1944.4256050000315,101.78599999999999,145.469,0,14.025,0,6.783,12879.965605000032
2025/01,합계,합계,합계,제주,0,0,0,6.890000000000001,492.53,0,0,0,613.8838500000003,421.96999999999997,0.8164,0.5,434.45,0,19.2,1990.2402500000003
2025/01,합계,합계,합계,세종,0,0,0,0,1127.612,0,5.28,0,83.47096000000002,0,2.31,0,5,0,3.25,1226.92296
2025/01,합계,합계,합계,소계,26050,40867.882,400,627.6999999999999,45203.856,4700,1105.4019999999996,346.33,27452.92682800246,2263.3716999999997,1802.3964,254.58,1845.647,0,449.37499999999994,153384.38113800244
2024/12,합계,합계,합계,서울,0,0,0,0,802.346,0,86.89999999999999,0,47.660195000000016,0,0,0,5.8,0,27.950000000000003,970.656195
2024/12,합계,합계,합계,부산,4550,19,0,0,1845.8360000000002,0,40.480000000000004,0,254.31037499999996,0.762,0.02,0,4.574,0,33.9,6748.882375
2024/12,합계,합계,합계,대구,0,72.9,0,0,640.7,0,4.11,0,362.2282260000005,0,3.56,0,4.5,0,9.9,1097.8982260000005
2024/12,합계,합계,합계,인천,0,5080,0,36.22999999999999,8576.747,0,245.74500000000003,0,148.13108499999993,49,12.599,0,76.33,0,30.78,14255.562085
2024/12,합계,합계,합계,광주,0,0,0,0,115.24600000000001,0,21.035,0,340.616036,0,1.83,0,2.12,0,3.96,484.80703600000004
2024/12,합계,합계,합계,대전,0,0,0,0,48.3,0,7.165000000000001,0,62.08183,0,0,0,0.099,0,88,205.64583
2024/12,합계,합계,합계,울산,2800,0,0,0,3619.3,0,37.298,0,134.1535150000002,0,0.3,0,0,0,18.2,6609.251515000001
2024/12,합계,합계,합계,경기,0,253.35500000000002,0,39.35,18987.716999999997,400,256.49,0,1849.805241000009,5.271,275.954,254,62.522999999999996,0,51.45499999999999,22435.920241000003
2024/12,합계,합계,합계,강원,0,6364,400,0,1279.2,1000,98.49600000000001,0,1890.700508000045,570.1980000000002,525.0949999999999,0,368.46500000000003,0,18.97,12515.124508000044
2024/12,합계,합계,합계,충북,0,0,0,0,0,0,39.6,0,1512.4897240000341,0,507.004,0,2.66,0,51.297,2125.0507240000343
2024/12,합계,합계,합계,충남,0,18246.058,0,469.61,4208.45,0,82.72,346.33,3658.706572999962,2,32.251,0,383.56,0,9.39,27439.570932999966
2024/12,합계,합계,합계,전북,0,445.369,0,7.340000000000001,718.4000000000001,600,15.42,0,4511.897537000326,79.5,78.91699999999999,0,477.812,0,14.535,6949.4893370003265
2024/12,합계,합계,합계,전남,5900,981.1,0,22.43999999999999,2378.9,0,68.56,0,6019.388215000018,454.87499999999994,36.775999999999996,0.08,2.229,0,22.869999999999997,15889.338265000017
2024/12,합계,합계,합계,경북,12800,156.1,0,18.5,361.6,1400,66.988,0,3749.258557999957,578.0097,179.95499999999998,0,1.5,0,38.935,19350.846257999958
2024/12,합계,합계,합계,경남,0,8200,0,27.19,1130.972,1300,9.315,0,1905.5191300000306,86.18599999999999,145.469,0,14.025,0,6.783,12825.45913000003
2024/12,합계,합계,합계,제주,0,0,0,6.890000000000001,492.53,0,0,0,564.9884700000003,421.96999999999997,0.8164,0.5,434.45,0,19.2,1941.3448700000004
2024/12,합계,합계,합계,세종,0,0,0,0,1127.612,0,5.28,0,82.90724000000003,0,2.31,0,5,0,3.25,1226.3592400000002
2024/12,합계,합계,합계,소계,26050,39817.882,400,627.55,46333.856,4700,1085.6019999999996,346.33,27094.842458002626,2247.7717,1802.8564,254.58,1845.647,0,449.37499999999994,153071.2067680026
2024/11,합계,합계,합계,서울,0,0,0,0,802.346,0,86.89999999999999,0,47.562725000000015,0,0,0,5.8,0,27.950000000000003,970.558725
2024/11,합계,합계,합계,부산,4550,19,0,0,1845.8360000000002,0,40.480000000000004,0,249.22707999999994,0.762,0.02,0,4.574,0,33.9,6743.79908
2024/11,합계,합계,합계,대구,0,72.9,0,0,640.7,0,4.11,0,350.1228210000007,0,3.56,0,4.5,0,9.9,1085.792821000001
2024/11,합계,합계,합계,인천,0,5080,0,36.22999999999999,8576.747,0,245.74500000000003,0,145.15669999999994,49,12.599,0,76.33,0,30.78,14252.587699999998
2024/11,합계,합계,합계,광주,0,0,0,0,115.24600000000001,0,21.035,0,329.9106660000002,0,1.83,0,2.12,0,3.96,474.10166600000025
2024/11,합계,합계,합계,대전,0,0,0,0,48.3,0,7.165000000000001,0,60.72759499999998,0,0,0,0.099,0,88,204.29159499999997
2024/11,합계,합계,합계,울산,2800,0,0,0,2514.7,0,37.298,0,132.2087200000002,0,0.3,0,0,0,18.2,5502.70672
2024/11,합계,합계,합계,경기,0,253.35500000000002,0,39.35,18987.716999999997,400,256.49,0,1817.4579110000088,5.271,275.954,254,62.522999999999996,0,51.45499999999999,22403.572911000003
2024/11,합계,합계,합계,강원,0,6364,400,0,1279.2,1000,98.49600000000001,0,1879.0150630000476,570.1980000000002,525.0949999999999,0,368.46500000000003,0,18.97,12503.439063000047
2024/11,합계,합계,합계,충북,0,0,0,0,0,0,39.6,0,1491.6428040000349,0,507.004,0,2.66,0,51.297,2104.203804000035
2024/11,합계,합계,합계,충남,0,18246.058,0,469.61,4208.45,0,82.72,346.33,3628.196647999962,2,32.251,0,383.56,0,9.39,27409.061007999964
2024/11,합계,합계,합계,전북,0,445.369,0,7.340000000000001,718.4000000000001,600,15.42,0,4495.07651700032,79.5,78.91699999999999,0,477.812,0,14.695,6932.828317000321
2024/11,합계,합계,합계,전남,5900,981.1,0,22.43999999999999,2378.9,0,68.56,0,5990.180575000014,454.87499999999994,36.775999999999996,0.08,2.229,0,22.869999999999997,15860.130625000013
2024/11,합계,합계,합계,경북,12800,156.1,0,18.5,361.6,1400,66.988,0,3699.8770979999354,578.0097,179.95499999999998,0,1.5,0,38.935,19301.46479799994
2024/11,합계,합계,합계,경남,0,8200,0,27.19,1130.972,1300,9.315,0,1873.3211750000314,86.18599999999999,145.469,0,14.025,0,6.783,12793.261175000032
2024/11,합계,합계,합계,제주,0,0,0,6.890000000000001,492.53,0,0,0,563.3558850000004,421.96999999999997,0.8164,0.5,434.45,0,19.2,1939.7122850000005
