기간,지역,원자력,석탄,,,유류,LNG,양수,신재생,,,,,,,,,기타,전력시장 계
,,,유연탄,무연탄,계,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,계,,
2007/11,강원,0,0,725,725,0,0,1000,0,0,1,113.19,501.625,0,0,0,615.815,0,2340.815
2007/11,충북,0,0,0,0,61.4,0,0,0,0,0,0,508.594,0,1,0,509.594,0,570.994
2007/11,충남,0,11002.15,400,11402.15,507,2300.75,0,0,0,0.12,0,5.021,0,3.46,0.8,9.401,0,14219.301
2007/11,전북,0,0,0,0,21,0,600,0,0,1.165,7.9,67.593,0,1,8,85.658,0,706.658
2007/11,전남,5900,500,0,500,528.6,989.2,0,0,0,18.927,0,32.344,0,5.893,1626.1,1683.264,0,9601.064
2007/11,경북,8678.683,97.1,0,97.1,43.5,0,600,0,0,3.777,40.26,151.39,0,2,1026.2,1223.627,0,10642.91
2007/11,경남,0,6240,0,6240,479,450,1300,0,0,2.1,0,120.94,0,0,3.65,126.69,0,8595.69
2007/11,제주,0,0,0,0,600,0,0,0,0,0,30.335,0,0,1,0,31.335,0,631.335
2007/11,세종,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007/11,소계,17715.683,20478.105,1125,21603.105,5676.5,14931.789,3900,0.25,0,29.089,191.685,1592.247,0,82.849,2696.13,4592.25,13.3,68432.627
2007/10,서울,0,0,0,0,0,445.5,0,0,0,0,0,0,0,0,0,0,13.3,458.8
2007/10,부산,3137,19,0,19,0,1350,0,0,0,0,0,0,0,7.116,5.8,12.916,0,4518.916
2007/10,대구,0,72.9,0,72.9,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,74.4
2007/10,인천,0,1600,0,1600,0,4603.539,0,0,0,2,0,3,0,50,1.8,56.8,0,6260.339
2007/10,광주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007/10,대전,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,88
2007/10,울산,0,0,0,0,1800,1200,0,0,0,0,0,0.3,0,0,16.18,16.48,0,3016.48
2007/10,경기,0,76.955,0,76.955,1548,3081,400,0.25,0,0,0,201.44,0,9.88,7.6,219.17,0,5325.125
2007/10,강원,0,0,725,725,0,0,1000,0,0,1,113.19,501.625,0,0,0,615.815,0,2340.815
2007/10,충북,0,0,0,0,61.4,0,0,0,0,0,0,508.594,0,1,0,509.594,0,570.994
2007/10,충남,0,11002.15,400,11402.15,507,2300.75,0,0,0,0.12,0,5.021,0,3.46,0.8,9.401,0,14219.301
2007/10,전북,0,0,0,0,21,0,600,0,0,1.165,7.9,67.593,0,1,8,85.658,0,706.658
2007/10,전남,5900,500,0,500,528.6,989.2,0,0,0,12.377,0,32.344,0,5.893,1626.1,1676.714,0,9594.514
2007/10,경북,8678.683,97.1,0,97.1,43.5,0,600,0,0,3.777,40.26,151.39,0,2,1026.2,1223.627,0,10642.91
2007/10,경남,0,6240,0,6240,479,450,1300,0,0,2.1,0,120.94,0,0,3.65,126.69,0,8595.69
2007/10,제주,0,0,0,0,600,0,0,0,0,0,18.335,0,0,1,0,19.335,0,619.335
2007/10,세종,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007/10,소계,17715.683,19608.105,1125,20733.105,5676.5,14419.989,3900,0.25,0,22.539,179.685,1592.247,0,82.849,2696.13,4573.7,13.3,67032.277
2007/09,서울,0,0,0,0,0,445.5,0,0,0,0,0,0,0,0,0,0,0,445.5
2007/09,부산,3137,19,0,19,0,1350,0,0,0,0,0,0,0,7.116,5.8,12.916,0,4518.916
2007/09,대구,0,72.9,0,72.9,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,74.4
2007/09,인천,0,1600,0,1600,0,4603.539,0,0,0,2,0,0,0,50,1.8,53.8,0,6257.339
2007/09,광주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007/09,대전,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,88
2007/09,울산,0,0,0,0,1800,1200,0,0,0,0,0,0.3,0,0,16.18,16.48,0,3016.48
2007/09,경기,0,76.955,0,76.955,1548,3057,400,0.25,0,0,0,201.44,0,9.88,7.6,219.17,0,5301.125
2007/09,강원,0,0,725,725,0,0,1000,0,0,1,110.44,501.625,0,0,0,613.065,0,2338.065
2007/09,충북,0,0,0,0,61.4,0,0,0,0,0,0,508.594,0,1,0,509.594,0,570.994
2007/09,충남,0,11002.15,400,11402.15,507,1800,0,0,0,0.12,0,5.021,0,3.46,0.8,9.401,0,13718.551
2007/09,전북,0,0,0,0,21,0,600,0,0,0.865,7.9,67.593,0,1,8,85.358,0,706.358
2007/09,전남,5900,500,0,500,528.6,989.2,0,0,0,10.377,0,32.344,0,5.893,1626.1,1674.714,0,9592.514
2007/09,경북,8678.683,97.1,0,97.1,43.5,0,600,0,0,3.777,40.26,151.39,0,2,1026.2,1223.627,0,10642.91
2007/09,경남,0,6240,0,6240,479,450,1300,0,0,2.1,0,120.94,0,0,2.2,125.24,0,8594.24
2007/09,제주,0,0,0,0,600,0,0,0,0,0,18.335,0,0,1,0,19.335,0,619.335
2007/09,세종,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007/09,소계,17715.683,19608.105,1125,20733.105,5676.5,13895.239,3900,0.25,0,20.239,176.935,1589.247,0,82.849,2694.68,4564.2,0,66484.727
2007/08,서울,0,0,0,0,0,445.5,0,0,0,0,0,0,0,0,0,0,0,445.5
2007/08,부산,3137,19,0,19,0,1350,0,0,0,0,0,0,0,7.116,5.8,12.916,0,4518.916
2007/08,대구,0,72.9,0,72.9,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,74.4
2007/08,인천,0,1600,0,1600,0,4603.539,0,0,0,2,0,0,0,50,1.8,53.8,0,6257.339
2007/08,광주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007/08,대전,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,88
2007/08,울산,0,0,0,0,1800,1200,0,0,0,0,0,0.3,0,0,16.18,16.48,0,3016.48
2007/08,경기,0,76.955,0,76.955,1548,3057,400,0.25,0,0,0,201.44,0,9.88,7.6,219.17,0,5301.125
2007/08,강원,0,0,725,725,0,0,1000,0,0,1,110.44,501.625,0,0,0,613.065,0,2338.065
2007/08,충북,0,0,0,0,61.4,0,0,0,0,0,0,508.594,0,1,0,509.594,0,570.994
2007/08,충남,0,11002.15,400,11402.15,507,1800,0,0,0,0.12,0,5.021,0,3.46,0.8,9.401,0,13718.551
2007/08,전북,0,0,0,0,21,0,600,0,0,0.865,7.9,67.593,0,1,8,85.358,0,706.358
2007/08,전남,5900,500,0,500,528.6,989.2,0,0,0,8.839,0,32.344,0,5.893,1626.1,1673.176,0,9590.976
2007/08,경북,8678.683,97.1,0,97.1,43.5,0,600,0,0,3.777,40.26,151.39,0,2,1026.2,1223.627,0,10642.91
2007/08,경남,0,6240,0,6240,479,450,1300,0,0,0.1,0,120.94,0,0,2.2,123.24,0,8592.24
2007/08,제주,0,0,0,0,600,0,0,0,0,0,18.335,0,0,1,0,19.335,0,619.335
2007/08,세종,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007/08,소계,17715.683,19608.105,1125,20733.105,5676.5,13895.239,3900,0.25,0,16.701,176.935,1589.247,0,82.849,2694.68,4560.662,0,66481.189
2007/07,서울,0,0,0,0,0,445.5,0,0,0,0,0,0,0,0,0,0,0,445.5
2007/07,부산,3137,19,0,19,0,1350,0,0,0,0,0,0,0,7.116,5.8,12.916,0,4518.916
2007/07,대구,0,72.9,0,72.9,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,74.4
2007/07,인천,0,1600,0,1600,0,4603.539,0,0,0,2,0,0,0,50,1.8,53.8,0,6257.339
2007/07,광주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007/07,대전,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,88
2007/07,울산,0,0,0,0,1800,1200,0,0,0,0,0,0.3,0,0,16.18,16.48,0,3016.48
2007/07,경기,0,76.955,0,76.955,1548,3057,400,0.25,0,0,0,201.44,0,9.88,7.6,219.17,0,5301.125
2007/07,강원,0,0,725,725,0,0,1000,0,0,1,110.44,501.625,0,0,0,613.065,0,2338.065
2007/07,충북,0,0,0,0,61.4,0,0,0,0,0,0,508.594,0,1,0,509.594,0,570.994
